Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,1990,1990,1000 ha,546705,,Official data
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,1991,1991,1000 ha,544161.9,F,FAO estimate
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,1992,1992,1000 ha,541618.8,F,FAO estimate
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,1993,1993,1000 ha,539075.7,F,FAO estimate
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,1994,1994,1000 ha,536532.6,F,FAO estimate
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,1995,1995,1000 ha,533989.5,F,FAO estimate
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,1996,1996,1000 ha,531446.4,F,FAO estimate
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,1997,1997,1000 ha,528903.3,F,FAO estimate
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,1998,1998,1000 ha,526360.2,F,FAO estimate
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,1999,1999,1000 ha,523817.1,F,FAO estimate
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,2000,2000,1000 ha,521274,,Official data
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,2001,2001,1000 ha,518366,F,FAO estimate
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,2002,2002,1000 ha,515458,F,FAO estimate
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,2003,2003,1000 ha,512550,F,FAO estimate
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,2004,2004,1000 ha,509642,F,FAO estimate
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,2005,2005,1000 ha,506734,,Official data
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,2006,2006,1000 ha,505078.8,F,FAO estimate
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,2007,2007,1000 ha,503423.6,F,FAO estimate
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,2008,2008,1000 ha,501768.4,F,FAO estimate
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,2009,2009,1000 ha,500113.2,F,FAO estimate
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,2010,2010,1000 ha,498458,,Official data
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,2011,2011,1000 ha,497474,F,FAO estimate
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,2012,2012,1000 ha,496490,F,FAO estimate
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,2013,2013,1000 ha,495506,F,FAO estimate
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,2014,2014,1000 ha,494522,F,FAO estimate
GF,Forest Land,21,Brazil,5110,Area,6661,Forest,2015,2015,1000 ha,493538,,Official data
